种子,仅月亮,仅巫毒娃娃的头,仅刀把,仅塔罗牌残片
1NSL C3RB,"2c,2d","1,1a,1b,2c,2d","4c,4d",
1NSL C3DC,"2c,2d","1d,2c,2d","4c,4d",
1NSL C39C,"1c,1d,2c,2d","2c,2d","4c,4d",
1NSL C3XD,"2c,2d",,"4c,4d",
1NSL C2RD,"2c,2d","2c,2d","4c,4d",
1NSL C2DA,"2c,2d,11","1c,1d,2c,2d","4c,4d",11
1NSL C29A,"1c,2c,2d","2c,2d","4c,4d",
1NSL C2XB,"2c,2d","2c,2d",,
1NSL C1J8,"1d,2c,2d,3c",2d,,2d
1NSL C1E8,"2c,2d","2c,2d","4c,4d",
1NSL C129,"2c,2d","2c,2d","4c,4d",
1NSL C1Y9,"2c,2d","2c,2d","4c,4d",
1NSL C0KE,"2c,2d","2c,2d","4c,4d",2d
1NSL C0FE,"2c,2d","2c,2d",4d,
1NSL C03F,"2c,2d","2c,2d","4c,4d",
1NSL C0ZK,2c,"1c,2c,2d","4c,4d",
1NSL CZK4,"2c,2d,11","2c,2d","4c,4d",11
1NSL CZF4,"1d,2c,2d","2c,2d",4d,
1NSL CZ3V,"2c,2d",,"4c,4d",
1NSL CZZV,"2c,2d,11","2c,2d","4c,4d",11
1NSL CYK2,"2c,2d","2c,2d","4c,4d",
1NSL CYF2,2c,"2c,2d,4c","4c,4d",
1NSL CY33,"2c,2d","1c,2c,2d","4c,4d",
1NSL CYZZ,"2c,2d,11","2c,2d","4c,4d",11
1NSL CXK0,2c,"2c,2d",,
1NSL CXF0,"2c,2d","2c,2d","4c,4d",
1NSL CX31,"2c,2d,6d","2c,2d",,
1NSL CXZ1,"2c,2d","2c,2d",,
1NSL CWKN,"2c,2d,11","2c,2d","4c,4d",11
1NSL CWFN,"2c,2d,11","2c,2d","4c,4d",11
1NSL CW3P,"2c,2d,4d,11",,"4c,4d",11
1NSL CWZT,"2c,2d","2c,2d",,
